LicenseTermID,Standard,TemplateSection,Markdown,When to include,When to Include (Identifier),Additional Text Processing Instructions,Other Notes
license:security:CMR:patches,Law: CMR,TERMS:SECURITY,"""maintain reasonably up-to-date firewall protection and operating system security patches on systems connected to the internet and storing files containing *personal information (Massachusetts data security law)*""",If CMR (regulation) is in scope,data:CMR:identifiable AND dataRecipient:CMR:inScopeRegulation,,
license:security:CMR:software,Law: CMR,TERMS:SECURITY,"""maintain reasonably up-to-date versions of system security agent software including malware protection and reasonably up-to-date patches and virus definitions""",If CMR (regulation) is in scope,data:CMR:identifiable AND dataRecipient:CMR:inScopeRegulation,,
license:breachReporting:CMR:notice,Law: CMR,TERMS:BREACH REPORTING,"""provide notice to the owner or licensor of the Data, as soon as practicable and without unreasonable delay upon knowing or having reason to know (i) of a breach of security, or (ii) that *personal information (Massachusetts data security law)* was acquired or used by an unauthorized person or used for an unauthorized purpose""",If CMR (statute) is in scope and Recipient maintains/stores the Data but does not own/license the Data,data:CMR:identifiable AND dataRecipient:CMR:inScopeStatute AND dataRecipient:CMR:maintains NOT dataRecipient:CMR:owns,,
license:breachReporting:CMR:cooperation,Law: CMR,TERMS:BREACH REPORTING,"""cooperate with the owner or licensor of the *personal information (Massachusetts data security law)* in the Data, though cooperation does not require: (i) the disclosure of confidential business information or trade secrets, or (ii) providing notice to a data subject that may have been affected by the breach of security or unauthorized acquisition or use""",If CMR (statute) is in scope and Recipient maintains/stores the Data but does not own/license the Data,data:CMR:identifiable AND dataRecipient:CMR:inScopeStatute AND dataRecipient:CMR:maintains NOT dataRecipient:CMR:owns,,
license:breachReporting:CMR:noticeReqs,Law: CMR,TERMS:BREACH REPORTING,"""provide notice to the owner or licensor that includes (i) the date or approximate date of the breach, (ii) the nature of the breach, (iii) any steps taken or plans to take relating to the breach""",If CMR (statute) is in scope and Recipient maintains/stores the Data but does not own/license the Data,data:CMR:identifiable AND dataRecipient:CMR:inScopeStatute AND dataRecipient:CMR:maintains NOT dataRecipient:CMR:owns,,
license:breachReporting:CMR:ownerNotice,Law: CMR,TERMS:BREACH REPORTING,"""provide notice to the Massachusetts attorney general, the Massachusetts director of consumer affairs and business regulation, and the data subject, as soon as practicable and without unreasonable delay, when such person or agency knows or has reason to know (i) of a breach of security, or (ii) that *personal information (Massachusetts data security law)* was acquired or used by an unauthorized person or used for an unauthorized purpose""",If CMR (statute) is in scope and Recipient owns/licenses the Data,data:CMR:identifiable AND dataRecipient:CMR:inScopeStatute AND dataRecipient:CMR:owns,,
license:breachReporting:CMR:ownerNoticeAG,Law: CMR,TERMS:BREACH REPORTING,"""provide notice to the Massachusetts attorney general and director of consumer affairs and business regulation that includes (i) the nature of the breach, (ii) the number of data subjects affected by the breach at the time of notification, and (iii) any steps taken or plans to take relating to the breach""",If CMR (statute) is in scope and Recipient owns/licenses the Data,data:CMR:identifiable AND dataRecipient:CMR:inScopeStatute AND dataRecipient:CMR:owns,,
license:breachReporting:CMR:ownerNoticeSubjects,Law: CMR,TERMS:BREACH REPORTING,"""provide notice to the data subject that includes (i) the subject's right to obtain a police report, (ii) how to request a security freeze and the necessary information to be provided when requesting a security freeze, (iii) any fees required to be paid to any of the consumer reporting agencies. Notification to data subjects does not require inclusion of (i) the nature of the breach, or (ii) the number of data subjects affected by the breach""",If CMR (statute) is in scope and Recipient owns/licenses the Data,data:CMR:identifiable AND dataRecipient:CMR:inScopeStatute AND dataRecipient:CMR:owns,,
license:destruction:CMR:paper,Law: CMR,TERMS:DESTRUCTION,"""The Data Recipient shall ensure all paper documents containing *personal information (Massachusetts data security law)* are redacted, burned, pulverized, or shredded so that *personal information (Massachusetts data security law)* cannot practicably be read or reconstructed.""",If CMR (statute) is in scope,data:CMR:identifiable AND dataRecipient:CMR:inScopeStatute,,
license:destruction:CMR:electronic,Law: CMR,TERMS:DESTRUCTION,"""The Data Recipient shall ensure all electronic media containing *personal information (Massachusetts data security law)* are destroyed or erased so that *personal information (Massachusetts data security law)* cannot practicably be read or reconstructed.""",If CMR (statute) is in scope,data:CMR:identifiable AND dataRecipient:CMR:inScopeStatute,,
license:destruction:CMR:thirdParties,Law: CMR,TERMS:DESTRUCTION,"""The Data Recipient shall ensure any third party hired to dispose of the material prohibits unauthorized access to or acquisition of or use of *personal information (Massachusetts data security law)* during the collection, transportation, and disposal of *personal information (Massachusetts data security law)*.""",If CMR (statute) is in scope,data:CMR:identifiable AND dataRecipient:CMR:inScopeStatute,,
